128.198.68.166 - - [10/Apr/2017:16:28:51 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute6.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:54 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute1.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:57 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute2.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:29:00 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute3.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:29:03 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute4.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:29:06 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute5.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:34:33 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute6.jpg HTTP/1.1" 304 182 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:34:36 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute1.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:34:39 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute2.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:34:42 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute3.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
